Distance from 5'-end,dsDNA_3
0,30.33914123844548
1,30.70897525096909
2,31.491024749030913
3,31.826796541099295
4,31.661783122950006
5,32.561027730841865
6,34.280071563462876
7,33.10009939369844
8,33.30901500844846
9,32.118695954676475
10,33.58190040751416
11,32.003061325911936
12,35.57251764238147
13,35.74049299274426
14,35.7163502633933
15,35.87296491402445
16,36.105118775469634
17,36.23112016698141
18,35.97158334161614
19,35.799860848822185
20,35.1334459795249
21,35.38507106649438
22,35.701639996024255
23,36.0303945929828
24,36.403478779445386
25,35.96422820793162
26,35.83644766921777
27,35.56961534638704
28,35.72406321439221
29,35.72739290328993
30,36.82765132690587
31,36.60448265579962
32,36.268681045621705
33,36.04681443196501
34,36.52680648046914
35,36.56879037868999
36,36.85181393499652
37,37.04303747142431
38,36.8372229400656
39,36.90844846436736
40,36.65986482457012
41,36.970012921180796
42,36.47613557300467
43,36.86784613855482
44,35.84328595567041
45,35.739250571513764
46,36.178133386343305
47,36.338564754994536
48,36.11957061922274
49,36.22729350959149
50,36.217592684623796
51,35.97060928337143
52,36.19106450651029
53,35.74044329589504
54,36.21933207434649
55,36.34350462180698
56,36.10694761952092
57,36.797992247291525
58,36.58860948215883
59,36.27619520922374
60,36.272120067587714
61,36.60460192823775
62,35.62183679554716
63,36.34937878938475
64,36.81567438624391
65,36.6865222144916
66,36.37668223834609
67,36.268502136964514
68,35.94770897525097
69,36.11437232879435
70,35.90891561475002
71,36.31414372328794
72,36.645909949309214
73,36.78485240035782
74,36.73854487625484
75,36.62366563959845
