Base index,AT_1#TOP,AT_1#BOT
1,82288,82096
2,390,966
3,120,198
4,53,100
5,95,118
6,43,142
7,45,73
8,13,32
9,11,14
10,7,11
11,6,9
12,5,18
13,30,8
14,8,13
15,10,25
16,4,11
17,3,5
18,3,7
19,4,6
20,22,2
21,6,3
22,5,6
23,3,5
24,1,3
25,1,5
26,4,0
27,1,27
28,5,4
29,6,2
30,1,0
31,3,0
32,14,2
33,3,1
34,2,0
35,7,7
36,2,2
37,13,1
38,2,4
39,4,2
40,5,2
41,1,1
42,9,1
43,4,3
44,2,5
45,6,2
46,4,3
47,3,0
48,5,3
49,3,4
50,9,0
51,2,2
52,6,4
53,7,2
54,4,0
55,1,2
56,2,3
57,1,1
58,15,3
59,3,1
60,1,3
61,2,2
62,4,4
63,2,1
64,15,1
65,11,1
66,3,2
67,6,4
68,4,1
69,4,2
70,4,1
71,9,2
72,5,0
73,5,3
74,4,3
75,2,6
76,11,3
77,5,2
78,4,4
79,8,0
80,4,3
81,4,3
82,5,6
83,8,4
84,11,3
85,9,2
86,18,2
87,13,4
88,6,8
89,4,3
90,16,2
91,7,5
92,3,2
93,4,2
94,6,4
95,10,7
96,5,3
97,9,3
98,8,4
99,7,4
100,6,7
101,13,2
102,7,13
103,10,4
104,11,2
105,39,10
106,9,3
107,11,6
108,9,6
109,8,4
110,10,5
111,11,3
112,14,3
113,9,9
114,14,4
115,12,5
116,16,5
117,3,2
118,8,7
119,11,11
120,16,6
121,14,9
122,4,9
123,15,4
124,8,3
125,21,2
126,13,12
127,8,4
128,17,6
129,10,9
130,21,2
131,16,13
132,8,5
133,10,7
134,13,7
135,23,10
136,6,5
137,16,15
138,9,7
139,10,9
140,12,9
141,15,12
142,16,7
143,18,4
144,31,8
145,20,13
146,17,9
147,19,11
148,16,9
149,17,10
150,21,14
151,18,12
152,24,15
153,20,8
154,14,11
155,14,9
156,12,13
157,19,12
158,2,17
159,14,23
160,30,18
161,20,16
162,17,9
163,12,9
164,19,7
165,13,15
166,18,11
167,20,10
168,14,19
169,25,16
170,12,17
171,12,15
172,22,9
173,19,12
174,25,7
175,10,12
176,16,13
177,7,16
178,9,12
179,16,3
180,15,3
181,13,13
182,6,14
183,4,8
184,7,14
185,4,4
186,5,10
187,4,6
188,7,9
189,5,13
190,7,9
191,6,14
192,6,7
193,1,10
194,3,10
195,3,8
196,5,14
197,2,8
198,5,12
199,5,12
200,4,10
201,2,7
202,3,8
203,2,6
204,0,8
205,4,10
206,3,8
207,5,7
208,1,17
209,7,6
210,4,7
211,3,7
212,3,11
213,4,6
214,5,8
215,0,10
216,4,11
217,1,6
218,1,7
219,6,2
220,0,7
221,3,6
222,0,13
223,2,5
224,3,6
225,2,6
226,2,4
227,2,5
228,1,9
229,1,3
230,1,3
231,1,6
232,3,1
233,1,2
234,2,1
235,0,2
236,1,2
237,0,2
238,2,2
239,1,3
240,2,1
241,3,2
242,2,1
243,2,1
244,1,2
245,0,1
246,1,1
247,6,2
248,2,0
250,1,0
251,3,2
252,2,2
253,0,1
255,0,2
256,2,1
258,5,0
259,1,4
260,1,1
261,5,1
262,1,0
263,1,2
264,1,1
265,1,1
267,2,2
269,0,2
270,1,0
273,0,2
274,0,3
276,3,2
277,1,0
278,2,0
279,1,1
280,2,0
281,7,1
282,1,0
285,1,0
286,1,1
287,1,1
288,2,0
289,1,0
290,0,2
291,2,1
292,4,0
294,2,0
295,2,1
296,3,1
297,6,2
298,7,0
299,5,3
300,4,0
301,6,1
302,4,1
303,2,1
304,3,3
305,5,2
306,5,1
307,8,1
308,5,2
309,9,2
310,14,3
311,10,0
312,19,1
313,17,2
314,20,0
315,12,0
316,20,0
317,14,1
318,16,3
319,56,3
320,43,2
321,57,1
322,77,4
323,72,0
324,91,3
325,80,6
326,121,2
327,102,1
328,132,3
329,105,1
330,145,3
331,184,8
332,245,3
333,222,3
334,195,2
335,258,2
336,301,4
337,424,7
338,510,10
339,683,9
340,1291,6
341,1096,9
342,1234,3
343,2302,5
344,1709,3
345,2068,9
346,2274,15
347,3415,9
348,2748,9
349,2799,27
350,2845,11
351,3029,23
352,3181,25
353,3201,62948
354,2617,367
355,5351,56
356,4452,49
357,2604,55
358,4222,61
359,1875,32
360,2113,30
361,1741,34
362,980,34
363,822,37
364,948,33
365,544,31
366,564,28
367,373,36
368,178,40
369,208,25
370,126,53
371,116,26
372,101,31
373,56,26
374,47,36
375,76,29
376,62,77
377,65,44
378,41,48
379,47,30
380,34,50
381,40,37
382,33,16
383,29,48
384,28,36
385,27,45
386,25,22
387,38,38
388,25,18
389,27,20
390,28,15
391,31,22
392,30,24
393,19,35
394,21,15
395,21,23
396,15,31
397,8,16
398,8,8
399,14,14
400,34,19
401,11,38
402,17,16
403,21,16
404,14,12
405,18,14
406,13,14
407,6,7
408,14,22
409,3,22
410,5,16
411,6,27
412,5,25
413,3,13
414,5,16
415,3,23
416,8,15
417,4,13
418,5,11
419,8,13
420,3,13
421,12,11
422,4,23
423,3,12
424,5,9
425,12,16
426,12,16
427,1,10
428,7,16
429,4,16
430,2,6
431,10,15
432,7,12
433,1,3
434,8,5
435,7,9
436,5,4
437,6,13
438,6,14
439,1,14
440,5,6
441,24,12
442,5,14
443,9,6
444,3,9
445,10,10
446,5,20
447,4,14
448,9,19
449,8,11
450,9,15
451,8,15
452,10,15
453,6,19
454,5,13
455,5,14
456,8,13
457,14,19
458,8,16
459,8,9
460,13,19
461,10,25
462,11,18
463,7,15
464,5,20
465,13,14
466,8,18
467,12,13
468,14,28
469,9,20
470,4,21
471,11,26
472,6,18
473,20,11
474,13,19
475,10,21
476,16,15
477,12,16
478,21,30
479,12,25
480,15,38
481,10,26
482,10,44
483,19,50
484,19,48
485,27,48
486,18,14
487,18,55
488,19,48
489,24,42
490,10,49
491,13,55
492,15,40
493,17,19
494,18,38
495,18,39
496,19,41
497,16,44
498,15,47
499,43,35
500,20,23
501,27,44
502,22,53
503,20,47
504,31,35
505,22,30
506,15,44
507,15,23
508,26,48
509,26,37
510,38,54
511,17,67
512,20,30
513,26,36
514,15,40
515,42,27
516,18,28
517,11,25
518,29,29
519,31,45
520,43,20
521,22,27
522,31,34
523,29,35
524,37,23
525,30,16
526,23,26
527,20,67
528,24,23
529,26,14
530,18,32
531,25,41
532,26,26
533,30,16
534,25,12
535,29,48
536,34,47
537,32,45
538,30,29
539,31,25
540,30,33
541,33,20
542,37,33
543,30,16
544,27,19
545,25,28
546,37,19
547,26,27
548,16,14
549,18,20
550,29,19
551,30,13
552,34,24
553,38,28
554,28,14
555,36,14
556,25,12
557,26,15
558,22,18
559,24,11
560,19,9
561,24,15
562,20,16
563,27,15
564,15,8
565,15,9
566,13,13
567,10,11
568,11,11
569,18,10
570,10,15
571,14,6
572,17,5
573,10,4
574,12,6
575,21,6
576,9,12
577,25,1
578,9,2
579,4,3
580,10,1
581,5,5
582,9,2
583,3,3
584,6,6
585,2,1
586,6,2
587,5,4
588,9,3
589,7,2
590,6,1
591,6,0
592,5,4
593,5,5
594,3,0
595,5,0
596,1,1
597,3,6
598,5,0
599,7,1
600,2,2
601,3,2
602,2,1
603,0,3
604,0,3
605,2,1
606,3,1
607,2,1
608,2,1
609,1,0
610,2,1
611,0,1
612,5,0
613,3,0
614,1,0
615,1,0
616,1,1
617,3,0
619,3,0
620,0,2
623,1,0
625,1,0
626,3,0
627,5,0
628,1,0
629,1,0
