Base index,GC_2#TOP,GC_2#BOT
1,81273,65897
2,423,531
3,144,169
4,68,85
5,109,85
6,54,119
7,65,61
8,21,34
9,24,15
10,6,13
11,9,12
12,9,19
13,35,10
14,18,21
15,6,24
16,9,30
17,5,8
18,6,5
19,4,4
20,25,6
21,7,3
22,11,1
23,6,8
24,3,9
25,3,0
26,5,1
27,5,33
28,6,3
29,2,10
30,4,0
31,11,1
32,19,0
33,6,2
34,2,0
35,1,14
36,4,4
37,10,5
38,4,1
39,2,0
40,3,0
41,2,3
42,3,1
43,4,2
44,4,1
45,7,3
46,5,1
47,3,5
48,4,3
49,2,1
50,7,1
51,1,0
52,6,2
53,4,3
54,5,0
55,7,2
56,3,6
57,1,1
58,16,3
59,5,2
60,7,8
61,6,2
62,4,1
63,2,2
64,28,5
65,2,3
66,10,2
67,8,4
68,6,4
69,6,1
70,1,1
71,9,1
72,3,1
74,4,2
75,3,5
76,6,2
77,10,1
78,10,1
79,6,4
80,13,3
81,5,2
82,3,2
83,7,4
84,17,2
85,5,2
86,28,4
87,8,2
88,8,1
89,5,12
90,24,1
91,10,7
92,7,0
93,4,3
94,6,0
95,10,3
96,11,2
97,11,4
98,9,10
99,8,7
100,6,2
101,48,2
102,10,6
103,10,1
104,11,5
105,27,11
106,9,2
107,16,4
108,7,6
109,14,4
110,9,4
111,26,2
112,8,8
113,10,2
114,19,7
115,19,8
116,24,5
117,8,2
118,11,3
119,15,6
120,23,8
121,17,4
122,7,7
123,22,6
124,7,9
125,23,3
126,24,10
127,11,8
128,28,4
129,10,7
130,23,8
131,22,8
132,24,8
133,20,4
134,19,7
135,24,11
136,25,13
137,20,17
138,23,5
139,24,9
140,44,14
141,27,12
142,12,10
143,30,7
144,41,12
145,67,9
146,24,6
147,24,21
148,44,8
149,22,8
150,51,19
151,32,30
152,36,17
153,38,14
154,51,9
155,43,6
156,42,17
157,64,16
158,22,18
159,44,13
160,74,23
161,33,14
162,48,11
163,47,13
164,53,12
165,57,13
166,44,13
167,54,13
168,80,11
169,68,20
170,58,18
171,56,13
172,66,12
173,59,19
174,84,16
175,61,9
176,72,21
177,41,17
178,39,12
179,65,10
180,72,7
181,61,15
182,51,14
183,45,16
184,33,12
185,53,2
186,48,21
187,45,14
188,46,21
189,54,24
190,43,6
191,53,15
192,41,8
193,20,16
194,24,12
195,13,20
196,48,13
197,23,11
198,57,19
199,55,15
200,40,20
201,45,4
202,38,17
203,40,16
204,20,20
205,68,14
206,31,5
207,26,7
208,24,21
209,45,20
210,38,19
211,24,9
212,31,13
213,23,10
214,14,15
215,18,26
216,38,33
217,21,16
218,21,12
219,18,13
220,29,13
221,18,13
222,17,4
223,16,8
224,17,14
225,19,9
226,27,9
227,8,8
228,17,13
229,16,9
230,18,9
231,16,15
232,11,9
233,7,3
234,15,3
235,9,3
236,13,5
237,3,3
238,10,3
239,4,4
240,16,5
241,11,6
242,11,7
243,8,3
244,8,7
245,10,1
246,7,5
247,21,9
248,14,7
249,6,4
250,4,6
251,5,3
252,8,9
253,3,2
254,7,3
255,3,2
256,13,0
257,4,7
258,7,3
259,6,2
260,11,6
261,6,4
262,3,7
263,7,4
264,2,3
265,9,4
266,6,1
267,5,1
268,4,3
269,0,2
270,4,3
271,5,2
272,14,2
273,5,5
275,2,0
276,4,4
277,4,3
278,2,2
279,1,0
280,4,0
281,3,1
282,2,0
283,1,3
284,0,3
285,3,1
286,1,0
287,4,1
288,2,1
289,1,4
290,0,1
291,0,2
292,1,4
293,0,5
294,1,4
295,3,2
297,2,3
298,3,4
299,0,3
300,1,1
301,5,3
302,2,2
303,3,0
304,1,4
305,1,3
306,1,2
307,1,3
308,3,3
309,2,2
310,6,7
311,9,1
312,7,1
313,7,1
314,3,3
315,4,6
316,9,3
317,6,5
318,6,0
319,29,1
320,12,3
321,10,4
322,22,1
323,26,7
324,46,5
325,42,2
326,57,7
327,66,7
328,57,11
329,44,0
330,59,7
331,30,5
332,164,8
333,75,6
334,73,6
335,90,8
336,36,13
337,160,10
338,126,11
339,144,8
340,267,8
341,137,10
342,396,15
343,967,17
344,188,8
345,120,12
346,953,21
347,1687,14
348,1694,11
349,2632,20
350,2626,20
351,2268,23
352,2692,31
353,3032,54514
354,2317,65
355,4896,58
356,4102,72
357,2168,30
358,3830,22
359,1685,9
360,1836,35
361,1377,49
362,862,52
363,833,37
364,1020,39
365,518,36
366,465,26
367,338,36
368,168,13
369,181,42
370,129,32
371,100,14
372,106,7
373,66,24
374,46,17
375,60,18
376,59,31
377,40,11
378,45,31
379,63,15
380,16,19
381,45,14
382,24,11
383,23,12
384,14,8
385,18,10
386,16,7
387,32,12
388,16,8
389,16,7
390,23,4
391,22,3
392,30,12
393,11,7
394,12,5
395,17,7
396,9,4
397,4,8
398,13,6
399,7,5
400,28,6
401,8,21
402,11,7
403,21,5
404,15,11
405,9,7
406,13,4
407,4,7
408,9,6
409,5,16
410,4,3
411,0,9
412,3,15
413,2,6
414,7,4
415,7,12
416,0,1
417,3,8
418,2,5
419,1,13
420,2,6
421,8,5
422,2,7
423,0,6
424,3,5
425,4,8
426,9,6
427,2,15
428,4,8
429,2,4
430,1,8
431,12,8
432,0,5
433,1,2
434,4,4
435,3,11
436,1,5
437,5,4
438,5,5
439,3,7
440,7,0
441,24,6
442,5,7
443,6,7
444,2,6
445,2,7
446,2,16
447,2,7
448,6,8
449,4,6
450,8,10
451,3,7
452,9,9
453,3,14
454,6,7
455,5,16
456,6,5
457,9,4
458,6,5
459,4,5
460,8,9
461,3,33
462,7,8
463,9,12
464,7,9
465,4,6
466,3,9
467,6,4
468,8,18
469,2,7
470,2,8
471,1,16
472,2,9
473,17,4
474,7,8
475,6,5
476,12,10
477,8,10
478,8,10
479,13,16
480,5,13
481,5,8
482,4,22
483,9,27
484,7,21
