Base index,704_3#TOP,704_3#BOT
1,18226,11825
2,167,160
3,16,23
4,14,7
5,28,12
6,5,6
7,3,6
8,3,0
9,11,3
10,0,1
11,0,3
12,2,2
13,0,1
14,0,1
15,0,3
16,2,0
17,1,1
18,1,0
20,1,0
21,3,0
22,2,0
23,1,1
24,0,1
25,1,0
26,1,0
27,0,2
28,1,0
29,1,0
30,0,2
35,0,1
36,1,0
37,1,0
38,1,1
39,1,0
40,1,0
42,4,0
44,0,1
45,1,0
48,1,0
50,1,0
53,1,0
54,3,1
55,0,1
59,0,1
60,0,2
61,0,1
62,0,1
63,1,1
65,0,1
66,1,0
67,1,2
68,0,1
69,1,0
71,2,0
72,1,0
74,1,0
75,1,0
76,1,1
77,3,1
78,1,4
81,0,1
83,1,0
84,3,0
85,0,1
86,1,1
87,1,0
88,1,0
90,1,0
92,2,0
93,1,0
94,0,1
95,1,0
96,1,1
99,1,0
100,0,2
102,1,0
103,1,0
106,1,1
107,1,1
108,1,0
109,2,1
110,1,0
111,0,1
114,1,0
115,0,1
116,0,1
117,0,1
119,1,0
120,1,1
122,0,1
124,0,1
128,1,2
129,1,0
131,1,0
132,1,2
134,0,1
135,1,0
136,2,3
137,0,2
139,0,1
141,0,4
144,0,1
145,0,2
146,0,2
147,0,1
148,1,0
149,1,0
150,0,1
152,1,2
154,1,1
155,0,1
157,0,1
159,1,0
160,1,0
162,0,1
164,0,1
165,0,5
167,2,0
169,1,0
170,2,1
171,1,0
172,1,1
173,1,1
174,0,2
175,1,3
176,0,2
178,0,1
179,0,1
180,1,1
182,0,2
183,0,4
184,0,2
185,1,0
186,1,0
187,3,0
188,3,0
189,1,2
192,1,0
193,0,1
195,0,1
196,1,2
198,1,0
199,2,2
200,1,3
201,1,1
203,1,1
204,1,0
206,1,0
207,0,1
211,2,0
212,0,1
213,0,2
214,0,1
215,0,2
216,1,1
219,2,0
222,0,1
229,1,3
230,0,1
231,0,2
233,1,1
234,1,2
235,0,1
237,1,0
238,1,0
239,1,0
241,0,2
242,1,0
244,1,0
251,2,0
253,0,1
255,0,1
259,1,0
260,1,0
262,0,1
267,1,0
271,0,1
272,1,0
276,3,1
277,0,3
278,0,3
281,0,1
283,0,1
284,1,0
289,2,2
293,0,1
294,0,1
296,1,0
299,0,2
300,0,1
301,2,0
302,1,2
303,1,0
304,2,1
305,1,0
307,1,0
308,1,0
309,3,0
310,1,0
312,1,0
313,2,0
314,6,1
316,2,0
318,1,0
319,5,1
320,1,2
321,3,0
322,2,3
323,7,1
324,4,1
325,1,0
327,9,0
328,4,0
329,2,0
330,1,1
332,6,1
333,6,0
334,19,0
335,18,0
336,32,1
337,55,0
338,42,0
339,70,0
340,52,1
341,76,2
342,112,4
343,160,3
344,150,0
345,212,1
346,224,1
347,177,2
348,489,3
349,483,3
350,662,3
351,449,3
352,393,2
353,565,16711
354,350,51
355,609,1
356,584,13
357,351,5
358,663,5
359,225,4
360,343,2
361,255,14
362,158,7
363,71,4
364,87,2
365,103,2
366,91,3
367,55,5
368,24,1
369,13,3
370,21,3
371,17,0
372,5,1
373,3,2
374,12,4
375,4,1
376,12,1
377,3,2
378,4,2
379,2,1
380,2,0
381,3,2
382,2,2
383,3,4
384,2,3
385,1,2
386,5,3
387,3,1
388,0,1
389,6,2
390,4,2
391,5,3
392,1,1
393,3,2
394,2,1
395,1,0
396,1,1
397,1,1
398,0,1
399,0,1
400,0,2
401,0,4
402,0,2
403,0,2
404,1,2
405,2,2
406,0,4
407,3,0
408,0,4
409,1,1
410,2,5
411,0,1
412,0,1
414,0,1
415,3,0
416,0,2
417,1,3
418,0,3
419,0,2
420,0,1
421,2,0
422,1,2
423,0,2
424,0,1
425,0,2
426,0,6
427,0,1
428,0,1
429,0,3
430,0,2
433,0,2
434,0,1
435,1,1
436,0,1
437,0,3
438,0,1
439,1,1
441,1,4
442,1,1
443,0,1
444,0,1
445,1,0
447,0,3
449,0,1
450,0,1
451,1,1
452,1,1
453,0,2
455,0,2
456,1,3
457,1,0
458,1,0
459,2,1
461,1,1
462,1,1
463,1,1
464,0,2
465,1,5
466,0,3
467,0,3
468,0,2
469,0,3
470,0,2
471,1,2
472,0,5
473,1,6
474,1,1
475,0,4
476,0,3
477,1,4
478,1,4
479,0,1
480,0,4
481,2,5
482,2,8
483,1,1
484,1,5
485,1,2
486,0,1
487,1,5
488,2,4
489,0,4
490,1,6
491,1,4
492,1,1
493,0,1
494,1,6
495,0,2
496,0,3
497,0,4
498,0,9
499,0,2
501,1,5
502,0,1
503,0,4
504,1,0
505,0,3
506,1,1
507,1,2
508,1,1
509,3,1
510,0,4
511,1,1
512,0,1
513,0,3
514,1,1
515,2,3
516,0,1
518,1,3
519,2,4
520,3,2
521,0,2
522,0,2
523,0,2
526,0,1
527,1,0
528,0,2
529,5,0
530,2,2
531,0,1
532,2,1
533,1,0
534,1,0
536,1,0
537,3,1
539,2,1
541,1,2
542,0,2
544,3,0
545,0,1
547,2,3
548,1,0
550,1,1
551,1,0
552,1,0
553,1,0
555,1,0
556,1,1
557,0,1
558,2,0
560,1,0
561,0,7
562,0,11
563,0,7
565,1,1
566,0,1
567,0,1
568,1,0
571,2,0
573,1,5
574,2,0
575,2,0
577,0,1
578,0,1
579,2,0
581,1,0
585,1,0
586,1,1
587,1,0
589,1,0
592,0,1
603,0,1
604,0,1
605,0,1
617,0,1
