Base index shifted,HP0.6.4_1#TOP,HP0.6.4_1#BOT
-374.5,64754,0
-373.5,1566,0
-372.5,185,0
-371.5,296,0
-370.5,53,0
-369.5,93,0
-368.5,135,0
-367.5,272,0
-366.5,47,4695
-365.5,148,91
-364.5,203,27
-363.5,68,35
-362.5,99,22
-361.5,46,1
-360.5,169,17
-359.5,26,4
-358.5,43,2
-357.5,44,2
-356.5,92,29
-355.5,33,11
-354.5,176,10
-353.5,119,1
-352.5,56,4
-351.5,29,8
-350.5,31,2
-349.5,17,4
-348.5,89,24
-347.5,30,14
-346.5,16,9
-345.5,25,6
-344.5,48,3
-343.5,28,15
-342.5,59,2
-341.5,17,7
-340.5,37,14
-339.5,47,12
-338.5,115,2
-337.5,34,8
-336.5,126,5
-335.5,116,10
-334.5,59,4
-333.5,93,4
-332.5,118,23
-331.5,28,10
-330.5,75,4
-329.5,68,0
-328.5,48,16
-327.5,32,4
-326.5,126,4
-325.5,91,3
-324.5,49,6
-323.5,16,9
-322.5,75,2
-321.5,40,1
-320.5,25,17
-319.5,74,2
-318.5,37,5
-317.5,100,6
-316.5,46,2
-315.5,35,11
-314.5,108,5
-313.5,45,10
-312.5,76,0
-311.5,45,4
-310.5,51,14
-309.5,37,3
-308.5,56,6
-307.5,49,10
-306.5,80,10
-305.5,40,4
-304.5,45,1
-303.5,46,15
-302.5,87,10
-301.5,66,4
-300.5,41,3
-299.5,38,8
-298.5,39,3
-297.5,194,4
-296.5,62,4
-295.5,40,10
-294.5,50,5
-293.5,74,0
-292.5,45,4
-291.5,25,3
-290.5,88,5
-289.5,54,5
-288.5,41,4
-287.5,32,5
-286.5,32,11
-285.5,37,5
-284.5,41,4
-283.5,29,5
-282.5,213,10
-281.5,55,13
-280.5,34,3
-279.5,45,5
-278.5,45,3
-277.5,35,8
-276.5,30,11
-275.5,113,3
-274.5,34,10
-273.5,50,9
-272.5,43,6
-271.5,93,7
-270.5,36,8
-269.5,22,26
-268.5,24,3
-267.5,52,3
-266.5,36,6
-265.5,16,7
-264.5,32,10
-263.5,21,3
-262.5,34,7
-261.5,35,11
-260.5,36,5
-259.5,38,4
-258.5,44,6
-257.5,35,3
-256.5,40,4
-255.5,22,4
-254.5,36,10
-253.5,32,7
-252.5,21,6
-251.5,9,8
-250.5,14,5
-249.5,22,3
-248.5,17,8
-247.5,33,4
-246.5,15,5
-245.5,27,3
-244.5,25,5
-243.5,15,6
-242.5,25,12
-241.5,42,2
-240.5,22,4
-239.5,18,14
-238.5,39,5
-237.5,77,7
-236.5,36,17
-235.5,48,7
-234.5,31,3
-233.5,26,4
-232.5,30,8
-231.5,36,4
-230.5,39,14
-229.5,32,1
-228.5,32,9
-227.5,48,2
-226.5,39,5
-225.5,37,9
-224.5,49,5
-223.5,24,9
-222.5,39,10
-221.5,45,4
-220.5,55,5
-219.5,41,6
-218.5,54,4
-217.5,57,9
-216.5,50,10
-215.5,56,13
-214.5,88,12
-213.5,62,13
-212.5,64,8
-211.5,32,12
-210.5,57,6
-209.5,48,4
-208.5,42,10
-207.5,30,7
-206.5,50,13
-205.5,42,9
-204.5,56,13
-203.5,43,20
-202.5,41,9
-201.5,37,7
-200.5,34,17
-199.5,40,8
-198.5,39,7
-197.5,25,15
-196.5,27,15
-195.5,52,21
-194.5,43,12
-193.5,28,17
-192.5,26,9
-191.5,43,9
-190.5,41,8
-189.5,44,14
-188.5,50,5
-187.5,29,10
-186.5,30,7
-185.5,32,17
-184.5,24,7
-183.5,33,11
-182.5,34,5
-181.5,37,15
-180.5,49,13
-179.5,42,5
-178.5,20,10
-177.5,32,9
