Base index,HP0.6.0_2#TOP,HP0.6.0_2#BOT
1,50914,21670
2,1099,378
3,191,71
4,206,141
5,46,34
6,81,13
7,148,48
8,157,22
9,29,8
10,107,7
11,94,61
12,48,18
13,59,18
14,26,6
15,56,9
16,30,15
17,39,7
18,34,4
19,64,73
20,26,31
21,112,22
22,103,15
23,41,10
24,28,9
25,30,5
26,24,12
27,44,15
28,17,10
29,13,7
30,24,15
31,21,29
32,27,14
33,25,4
34,6,8
35,22,64
36,23,17
37,40,7
38,18,2
39,63,39
40,82,7
41,31,3
42,56,7
43,58,18
44,17,16
45,39,9
46,28,5
47,20,24
48,17,3
49,57,11
50,40,9
51,18,4
52,29,10
53,39,7
54,22,12
55,14,6
56,53,14
57,17,7
58,55,8
59,35,15
60,39,22
61,52,9
62,26,9
63,39,6
64,35,44
65,20,26
66,15,6
67,43,4
68,29,5
69,45,5
70,19,7
71,23,8
72,36,12
73,65,5
74,51,5
75,38,14
76,40,11
77,40,6
78,196,4
79,73,6
80,39,11
81,49,18
82,48,6
83,40,4
84,39,6
85,94,20
86,43,31
87,57,6
88,30,18
89,53,7
90,38,9
91,42,26
92,43,11
93,254,15
94,74,17
95,34,22
96,57,4
97,58,11
98,50,72
99,33,9
100,141,3
101,44,20
102,47,12
103,56,10
104,132,8
105,58,12
106,36,16
107,22,7
108,42,9
109,47,6
110,27,6
111,32,7
112,29,9
113,40,11
114,35,23
115,45,5
116,34,12
117,37,6
118,36,4
119,62,23
120,25,5
121,37,3
122,41,6
123,19,9
124,27,5
125,38,16
126,31,5
127,18,9
128,38,14
129,20,3
130,47,8
131,39,25
132,23,9
133,23,3
134,32,7
135,27,5
136,34,11
137,43,36
138,140,13
139,50,8
140,31,17
141,38,9
142,41,10
143,40,4
144,39,6
145,39,21
146,29,12
147,27,8
148,41,13
149,26,3
150,30,8
151,29,14
152,25,14
153,35,8
154,36,17
155,53,7
156,43,24
157,38,8
158,43,7
159,34,5
160,52,9
161,62,8
162,55,12
163,55,14
164,44,31
165,39,17
166,63,15
167,32,21
168,36,9
169,38,6
170,36,13
171,43,16
172,29,23
173,27,15
174,25,26
175,28,11
176,52,9
177,51,12
178,24,26
179,22,9
180,58,9
181,40,10
182,20,21
183,32,9
184,65,13
185,51,7
186,46,10
187,39,15
188,16,11
189,30,23
190,34,13
191,32,16
192,33,10
193,29,13
194,35,23
195,24,19
196,65,20
197,34,5
198,54,10
199,34,6
200,17,9
201,54,10
202,32,15
203,28,4
204,20,10
205,13,12
206,31,9
207,24,13
208,30,10
209,23,10
210,49,12
211,28,11
212,26,12
213,43,11
214,30,17
215,32,18
216,38,14
217,37,7
218,32,5
219,22,14
220,32,14
221,35,11
222,23,18
223,26,14
224,31,11
225,19,41
226,16,18
227,67,25
228,26,12
229,46,9
230,9,10
231,50,6
232,17,12
233,14,12
234,23,8
235,29,14
236,11,15
237,33,13
238,34,6
239,25,20
240,21,12
241,10,18
242,21,15
243,30,7
244,32,7
245,14,16
246,15,21
247,14,42
248,29,23
249,20,15
250,24,14
251,16,13
252,24,8
253,19,22
254,22,4
255,18,10
256,19,10
257,25,26
258,22,9
259,16,15
260,28,20
261,20,11
262,26,11
263,21,14
264,14,16
265,20,15
266,16,18
267,18,16
268,16,15
269,9,18
270,14,34
271,16,20
272,13,12
273,21,23
274,9,15
275,25,18
276,7,8
277,10,20
278,6,30
279,11,35
280,13,11
281,13,13
282,13,14
283,11,26
284,10,20
285,14,19
286,8,22
287,10,22
288,6,37
289,8,14
290,7,19
291,11,14
292,7,21
293,2,13
294,8,28
295,2,20
296,4,11
297,0,19
298,2,12
299,4,14
300,2,9
301,5,15
302,3,19
303,5,16
304,6,10
305,2,10
306,4,17
307,4,7
308,3,8
309,5,17
310,3,13
311,6,13
312,0,18
313,4,16
314,2,11
315,16,28
316,4,19
317,3,15
318,10,31
319,4,34
320,12,14
321,3,9
322,4,21
323,6,31
324,2,31
325,5,27
326,5,27
327,3,37
328,6,20
329,4,35
330,8,27
331,4,55
332,7,36
333,10,55
334,6,30
335,5,55
336,13,42
337,9,1252
338,10,183
339,5,59
340,8,131
341,830,69
342,31,88
343,13,80
344,35,109
345,18,131
346,10,95
347,40,174
348,15,167
349,56,92
350,27,65
351,58,73
352,36,219
353,44,164
354,27,172
355,43,159
356,31,284
357,77,221
358,71,324
359,113,336
360,111,382
361,137,1272
362,130,1048
363,227,1651
364,167,2102
365,308,2539
366,195,5827
367,269,5692
368,222,4535
369,242,4705
370,387,2619
371,247,2318
372,435,1281
373,315,746
374,625,499
375,514,409
376,861,689
377,453,396
378,933,215
379,720,458
380,851,214
381,580,232
382,800,432
383,676,265
384,452,105
385,567,305
386,347,203
387,464,304
388,345,136
389,233,232
390,166,210
391,160,133
392,185,137
393,174,197
394,191,173
395,124,184
396,80,198
397,152,166
398,138,176
399,113,1129
400,56,154
401,105,116
402,55,165
