Base index shifted,704#TOP#AVERAGE,704#TOP#STD,704#BOT#AVERAGE,704#BOT#STD
-49.5,0.00011896637929991914,5.898568874598454e-05,3.71106500350077e-05,3.304208424334518e-05
-48.5,0.0001283033061491217,0.00010112094339786443,4.176076145697301e-05,1.7536340364251695e-05
-47.5,0.00013976834949356145,2.072518030145963e-05,0.0,0.0
-46.5,0.00025631435959680486,0.00014491862058069952,2.399635255441173e-05,3.393596722993533e-05
-45.5,9.903375158160703e-05,3.252410766518875e-05,7.99878418480391e-06,1.3854300606858775e-05
-44.5,8.877765689734092e-05,5.027030939137402e-05,7.037693888466627e-06,1.2189643382941175e-05
-43.5,0.000257525780133307,7.833134296281142e-05,1.5036478073270538e-05,1.3101529200471791e-05
-42.5,0.0001298020356344054,2.0897548013307764e-05,0.0,0.0
-41.5,7.51820251813355e-05,6.281051505970495e-05,0.0,0.0
-40.5,0.0001500244441778276,3.4323458042651276e-05,1.599756836960782e-05,2.770860121371755e-05
-39.5,0.0002188694733568564,1.1719414793828304e-05,0.0,0.0
-38.5,0.0003937171090060809,0.00026164627677161695,2.7685373680039755e-05,2.9702200609472367e-05
-37.5,0.00015079872160033613,8.27228234804741e-05,3.455289338711167e-05,1.9006764012585707e-05
-36.5,0.00024847863410921447,7.354781313134851e-05,1.5036478073270538e-05,1.3101529200471791e-05
-35.5,0.0002140739746565933,0.00017589585227209962,4.5109434219811614e-05,4.077560795236085e-06
-34.5,0.00017024685272124977,5.033178538615634e-05,2.1113081665399882e-05,3.656893014882352e-05
-33.5,0.0004644004738552368,0.00021585032147677593,3.4723067568506386e-05,2.1125448430857756e-05
-32.5,0.000200435575123828,7.323287465720247e-05,5.344856676740495e-05,5.9854097668879935e-05
-31.5,0.00027803796950183924,6.931391325023141e-05,7.037693888466627e-06,1.2189643382941175e-05
-30.5,0.00026957038512796685,3.7874780358114414e-05,6.705855267051145e-05,9.611915199218288e-05
-29.5,0.0005935731224796887,0.0001964599490428082,4.783736504910235e-05,4.333019298145145e-05
-28.5,0.0002958923060846475,0.00014801555580804966,5.1681726234451484e-05,4.841617884817511e-05
-27.5,0.00013918878784334132,6.185389597928541e-05,1.5036478073270538e-05,1.3101529200471791e-05
-26.5,0.00030290145691366755,3.6751027044140806e-05,0.0,0.0
-25.5,0.0008824965736757476,0.00018739111799211908,1.599756836960782e-05,2.770860121371755e-05
-24.5,0.000375912597783006,0.0001392398851852572,1.5036478073270538e-05,1.3101529200471791e-05
-23.5,0.00044983337706810603,0.0002466256458170445,7.99878418480391e-06,1.3854300606858775e-05
-22.5,0.00018050294740551588,6.509576526879041e-05,5.9680510419255396e-05,5.999328995715845e-05
-21.5,0.00016792154857739572,0.00011062646537447669,5.422433960800563e-05,4.274882925443083e-05
-20.5,0.0013301470651362261,0.0006712949222320232,3.4723067568506386e-05,2.1125448430857756e-05
-19.5,0.0010470333455283158,0.000496086494798693,0.0,0.0
-18.5,0.0020674101076677645,0.00019333097074538321,1.5036478073270538e-05,1.3101529200471791e-05
-17.5,0.0029789172216070463,0.0007891057618508398,1.5036478073270538e-05,1.3101529200471791e-05
-16.5,0.0044377619681896276,0.0007464270829133897,4.176076145697301e-05,1.7536340364251695e-05
-15.5,0.007977151666536737,0.0014024963968073414,2.9111865850203794e-05,3.197798221248051e-05
-14.5,0.005705593602131103,0.0007544842380067321,3.614955973867042e-05,4.351809052896297e-05
-13.5,0.009485488376230256,0.0012454349261001132,3.71106500350077e-05,3.304208424334518e-05
-12.5,0.007748945266330677,0.0015248017589123597,2.7685373680039755e-05,2.9702200609472367e-05
-11.5,0.010684334676246791,0.001788831948933069,0.0001046346045793459,5.124779012141961e-05
-10.5,0.01749597075646668,0.0042410640182077115,0.00011681809831228837,0.000104486767273056
-9.5,0.02467402386020788,0.005416055129668612,0.00012528228437091904,5.260902109275508e-05
-8.5,0.026692302489965368,0.008372251422562572,3.0072956146541075e-05,2.6203058400943583e-05
-7.5,0.037928794071006786,0.011700116113691077,8.175468238099256e-05,5.454043702857648e-05
-6.5,0.02903676310232778,0.003543141937572665,8.494801508411005e-05,5.4704702038031803e-05
-5.5,0.018904977885995638,0.0014308457671257347,6.144735095220886e-05,4.9918774037253386e-05
-4.5,0.047186839045304206,0.008247630271921698,0.00014127985274052686,3.126962692261028e-05
-3.5,0.04571965784776037,0.009087176410912048,0.00016143184410958946,5.916589439886129e-05
-2.5,0.05968279634620295,0.015237651790063922,8.817163433591133e-05,7.95533778996078e-05
-1.5,0.04136230560281368,0.009435791942617537,0.00019631025173781695,6.040085830948877e-05
-0.5,0.04644673744910622,0.0029973264821073226,0.00016958596835411446,8.184216547439976e-05
0.5,0.06608553925435509,0.005008359734087287,0.9869050093670898,0.0019056953617140762
1.5,0.042067468992272525,0.0024460931950009398,0.0034149989741301266,0.0007847305039519467
2.5,0.0665952608650185,0.004633775145010973,0.00013901732378506285,7.011693371278179e-05
3.5,0.06470667401649861,0.0031489288193570354,0.0007658947658188214,0.00019490726498350326
4.5,0.04072572321403,0.0006144567479389057,0.0002836761358371121,0.0001304620851855139
5.5,0.06710894470026664,0.008783645743099533,0.00021872477206234353,6.731049848014729e-05
6.5,0.02513182221152608,0.0009007994654216467,0.00019296157897497832,5.829085181971259e-05
7.5,0.0461842574236615,0.0064074493470390875,0.00014558961579970274,4.039462868736742e-05
8.5,0.031531661005777645,0.0026857272562216448,0.0006214512486185242,0.00018093322882121023
9.5,0.01991583435511011,0.0013827961208549692,0.0002289860852026114,0.00016274266814751137
10.5,0.009344751033541897,0.0009690751553328504,0.00017504183001269596,5.837113416281181e-05
11.5,0.011151447772000143,0.0011014942660335383,0.00014462852550336546,2.507752339702311e-05
12.5,0.014317392595244326,0.0021438864738392393,0.00019773674390798096,7.383699725450958e-05
13.5,0.010226057717396073,0.0005166243376908122,0.00012912664555626816,7.53986247683965e-05
14.5,0.006188772524156869,0.00020628723862052534,0.00030094485631716283,9.534030900691948e-06
15.5,0.0026355306516661027,0.0001455619650746232,8.783128597312191e-05,3.060123153531966e-05
16.5,0.0024201834298176435,0.0008536705387429865,0.00014831754662899348,2.8602398667859496e-05
17.5,0.0025465628646631185,0.00042858510917658215,0.0002583783446235737,0.00012968142785462007
18.5,0.002181775704039709,0.00026659495537407303,0.00011836964399348974,0.00010786983261438383
19.5,0.0009927911234102042,0.0003695176341287813,0.00013997841408140013,7.102029583218974e-05
20.5,0.0007118055202975308,0.00032138317541950174,9.055921680241265e-05,3.7394283985998225e-05
21.5,0.001461842205553149,0.00030314803577224735,0.00025406858156439775,7.458148125570531e-05
22.5,0.0005277255522712274,0.00011263374686241611,8.590910538044735e-05,3.5894270725102945e-05
23.5,0.0013416668775930562,0.00018343593618130874,5.7758329826580834e-05,1.4924067029416995e-05
24.5,0.0007123850819477509,0.00031565618827476485,8.640479380295786e-05,5.655194715147701e-05
25.5,0.0006396732513228245,0.0001535404150083658,0.00013343640861544404,9.975455388848135e-05
26.5,0.0004322189959506745,0.00020743437043500027,9.486897986158853e-05,3.183838145059024e-05
27.5,0.00040058136942254594,0.00014790892991559001,6.814469647788606e-05,6.163083604113457e-05
28.5,0.00024669012379882073,0.00011407835675996452,9.951909128355384e-05,1.7109513111658067e-05
29.5,0.0005398199826256206,0.0003745200000880403,0.0001475117963923773,8.181602489654063e-05
30.5,0.00040788983049597796,0.00014017892962377732,0.00017696401060537053,5.5330726524115e-05
31.5,0.0003396243629671693,0.0001082779088127945,0.00010513029300185644,6.793974759516385e-05
32.5,0.00028103542847240665,0.0001451416749281136,0.00017374039135356923,4.911248258259601e-05
33.5,0.0004763952534901634,8.979620140156042e-05,0.00012624337466725632,4.4371115323105604e-05
34.5,0.0003896958877283263,8.93587178613089e-05,0.00012494193600812961,5.794119711463768e-05
35.5,0.0001913884290997355,0.0001805926512452101,8.87923762694592e-05,4.784012778256724e-05
36.5,0.0008664805727630665,0.00028539711275854806,9.34424876914245e-05,4.436441008277567e-05
37.5,0.000477604202150337,5.501259262185288e-05,0.00010655678517202046,1.1100315888505234e-05
38.5,0.00039579540014158474,0.00016312052717676892,9.617041852071525e-05,7.057413756919337e-05
39.5,0.0002405906113855623,0.00011101010497104205,4.975954564177692e-05,8.554756555829033e-06
40.5,0.00030735734942908725,7.984202322185762e-05,0.00011455556935682437,7.841187265955542e-06
41.5,0.00023909188190027859,7.104740037132278e-06,9.390788956525125e-05,3.385719928753311e-05
