Base index shifted,GC_3#TOP,GC_3#BOT
-351.5,85770,52979
-350.5,440,383
-349.5,127,138
-348.5,82,63
-347.5,114,65
-346.5,74,82
-345.5,65,52
-344.5,17,19
-343.5,25,10
-342.5,14,9
-341.5,6,8
-340.5,12,13
-339.5,30,9
-338.5,11,23
-337.5,7,38
-336.5,7,18
-335.5,2,6
-334.5,10,1
-333.5,6,10
-332.5,19,4
-331.5,12,3
-330.5,5,5
-329.5,5,10
-328.5,2,2
-327.5,3,9
-326.5,6,2
-325.5,5,24
-324.5,3,2
-323.5,2,3
-322.5,4,1
-321.5,18,1
-320.5,17,0
-319.5,3,0
-318.5,1,0
-317.5,5,3
-316.5,7,3
-315.5,19,0
-314.5,5,3
-313.5,4,0
-312.5,1,4
-311.5,2,2
-310.5,10,1
-309.5,5,0
-308.5,7,1
-307.5,17,4
-306.5,1,3
-305.5,4,0
-304.5,5,4
-303.5,2,1
-302.5,12,2
-301.5,3,1
-300.5,7,2
-299.5,6,3
-298.5,2,1
-297.5,1,0
-296.5,6,10
-295.5,2,4
-294.5,16,1
-293.5,3,0
-292.5,2,7
-291.5,7,2
-290.5,2,2
-289.5,3,4
-288.5,32,1
-287.5,5,0
-286.5,7,1
-285.5,3,6
-284.5,4,0
-283.5,2,1
-282.5,9,0
-281.5,9,2
-280.5,5,2
-279.5,2,0
-278.5,6,2
-277.5,3,5
-276.5,3,4
-275.5,8,0
-274.5,2,3
-273.5,3,2
-272.5,6,2
-271.5,3,0
-270.5,2,3
-269.5,8,2
-268.5,22,1
-267.5,9,0
-266.5,17,2
-265.5,7,1
-264.5,9,1
-263.5,8,3
-262.5,18,1
-261.5,11,6
-260.5,11,4
-259.5,9,3
-258.5,10,1
-257.5,11,4
-256.5,10,2
-255.5,8,5
-254.5,8,8
-253.5,4,5
-252.5,10,4
-251.5,35,3
-250.5,10,12
-249.5,13,7
-248.5,9,2
-247.5,53,5
-246.5,13,1
-245.5,15,2
-244.5,17,2
-243.5,17,3
-242.5,18,7
-241.5,29,1
-240.5,10,4
-239.5,12,3
-238.5,20,1
-237.5,18,2
-236.5,17,2
-235.5,13,3
-234.5,15,4
-233.5,23,5
-232.5,23,4
-231.5,18,11
-230.5,6,6
-229.5,28,6
-228.5,12,8
-227.5,32,6
-226.5,27,12
-225.5,16,4
-224.5,18,8
-223.5,13,5
-222.5,21,10
-221.5,22,7
-220.5,11,5
-219.5,21,4
-218.5,20,2
-217.5,28,13
-216.5,22,5
-215.5,19,14
-214.5,27,7
-213.5,13,10
-212.5,26,9
-211.5,37,9
-210.5,25,8
-209.5,35,8
-208.5,41,6
-207.5,42,10
-206.5,26,6
-205.5,31,17
-204.5,46,9
-203.5,30,3
-202.5,57,7
-201.5,31,22
-200.5,29,7
-199.5,36,8
-198.5,47,16
-197.5,42,10
-196.5,35,19
-195.5,70,14
-194.5,25,13
-193.5,52,13
-192.5,66,18
-191.5,61,10
-190.5,46,8
-189.5,52,7
-188.5,46,9
-187.5,54,18
-186.5,49,3
-185.5,69,12
-184.5,73,9
-183.5,88,16
-182.5,54,9
-181.5,59,20
-180.5,81,17
-179.5,45,16
-178.5,74,8
-177.5,58,12
-176.5,66,18
-175.5,31,12
-174.5,36,10
-173.5,68,10
-172.5,62,7
-171.5,71,8
-170.5,41,12
-169.5,57,13
-168.5,39,7
-167.5,44,3
-166.5,39,9
-165.5,33,9
-164.5,33,20
-163.5,37,16
-162.5,32,10
-161.5,37,6
-160.5,60,10
-159.5,31,16
-158.5,42,15
-157.5,17,15
-156.5,53,14
-155.5,27,18
-154.5,60,11
-153.5,57,26
-152.5,36,15
-151.5,39,9
-150.5,39,14
-149.5,33,11
-148.5,28,15
-147.5,78,23
-146.5,35,14
-145.5,28,11
-144.5,27,14
-143.5,46,10
-142.5,28,17
-141.5,27,9
-140.5,43,12
-139.5,27,14
-138.5,41,11
-137.5,16,25
-136.5,27,28
-135.5,30,17
-134.5,16,12
-133.5,22,15
