Base index shifted,ATMi3_2#TOP,ATMi3_2#BOT
-351.5,141759,12071
-350.5,1274,170
-349.5,288,25
-348.5,148,6
-347.5,251,10
-346.5,78,11
-345.5,50,5
-344.5,41,5
-343.5,53,5
-342.5,55,1
-341.5,8,2
-340.5,12,0
-339.5,116,1
-338.5,15,2
-337.5,23,3
-336.5,19,1
-335.5,17,1
-334.5,13,1
-333.5,6,0
-332.5,50,1
-331.5,38,0
-330.5,20,1
-329.5,30,7
-328.5,17,1
-327.5,26,1
-326.5,11,1
-325.5,13,6
-324.5,10,0
-323.5,4,0
-322.5,161,3
-321.5,7,0
-320.5,32,0
-319.5,14,0
-318.5,4,1
-317.5,5,2
-316.5,7,7
-315.5,43,5
-314.5,21,1
-313.5,14,1
-312.5,20,0
-311.5,2,1
-310.5,7,0
-309.5,9,0
-308.5,4,0
-307.5,25,1
-306.5,10,0
-305.5,8,0
-304.5,10,1
-303.5,5,0
-302.5,10,0
-301.5,2,0
-300.5,6,0
-299.5,11,0
-298.5,9,0
-297.5,5,0
-296.5,2,0
-295.5,6,0
-294.5,48,1
-293.5,6,0
-292.5,8,5
-291.5,11,0
-290.5,2,0
-289.5,6,0
-288.5,47,0
-287.5,9,0
-286.5,12,0
-285.5,2,0
-284.5,10,0
-283.5,8,0
-282.5,3,0
-281.5,23,1
-280.5,6,0
-279.5,7,0
-278.5,17,0
-277.5,11,5
-276.5,17,1
-275.5,13,0
-274.5,3,0
-273.5,20,0
-272.5,11,0
-271.5,16,1
-270.5,12,0
-269.5,12,3
-268.5,15,1
-267.5,5,0
-266.5,22,0
-265.5,22,0
-264.5,10,1
-263.5,10,1
-262.5,60,2
-261.5,22,2
-260.5,17,0
-259.5,12,0
-258.5,19,0
-257.5,33,2
-256.5,20,0
-255.5,32,1
-254.5,13,8
-253.5,9,1
-252.5,13,0
-251.5,40,1
-250.5,14,3
-249.5,11,0
-248.5,19,0
-247.5,12,1
-246.5,22,0
-245.5,19,0
-244.5,17,2
-243.5,10,1
-242.5,8,0
-241.5,21,0
-240.5,21,1
-239.5,16,2
-238.5,15,1
-237.5,20,2
-236.5,35,1
-235.5,11,0
-234.5,15,1
-233.5,17,0
-232.5,15,1
-231.5,17,1
-230.5,9,1
-229.5,18,0
-228.5,6,1
-227.5,10,0
-226.5,22,0
-225.5,14,1
-224.5,24,0
-223.5,13,3
-222.5,18,0
-221.5,16,1
-220.5,7,1
-219.5,11,0
-218.5,21,1
-217.5,13,0
-216.5,25,0
-215.5,22,0
-214.5,16,0
-213.5,7,0
-212.5,23,0
-211.5,18,0
-210.5,14,0
-209.5,21,0
-208.5,14,1
-207.5,16,0
-206.5,13,0
-205.5,19,0
-204.5,20,0
-203.5,23,1
-202.5,40,1
-201.5,31,1
-200.5,24,2
-199.5,12,1
-198.5,13,1
-197.5,26,4
-196.5,10,1
-195.5,19,0
-194.5,7,0
-193.5,32,0
-192.5,38,1
-191.5,21,0
-190.5,21,0
-189.5,16,2
-188.5,15,3
-187.5,8,4
-186.5,15,2
-185.5,20,1
-184.5,16,0
-183.5,12,0
-182.5,32,1
-181.5,23,2
-180.5,31,0
-179.5,11,2
-178.5,14,0
-177.5,9,0
-176.5,11,1
-175.5,7,1
-174.5,8,0
-173.5,11,1
-172.5,7,0
-171.5,5,0
-170.5,9,0
-169.5,4,1
-168.5,1,2
-167.5,3,0
-166.5,3,1
-165.5,7,0
-164.5,5,1
-163.5,3,1
-162.5,2,0
-161.5,2,0
-160.5,0,1
-159.5,1,1
-158.5,1,2
-157.5,1,1
-156.5,4,0
-155.5,1,1
-154.5,2,0
-153.5,3,2
-152.5,0,1
-151.5,1,0
-150.5,4,1
-149.5,4,0
-148.5,0,2
-147.5,3,1
-146.5,1,0
-145.5,3,0
-141.5,2,0
-140.5,2,0
-139.5,0,1
-138.5,1,2
-137.5,0,1
-136.5,0,1
-135.5,1,0
-134.5,0,1
-133.5,2,2
-132.5,1,0
-131.5,3,0
-130.5,2,2
-128.5,1,1
-127.5,2,2
-126.5,1,1
-125.5,1,1
-124.5,1,3
-122.5,1,3
-121.5,3,2
-119.5,2,0
-117.5,2,1
-116.5,1,1
-114.5,1,2
-113.5,1,1
-112.5,1,0
-111.5,1,0
-110.5,2,0
-109.5,2,1
-108.5,2,0
-107.5,2,0
-106.5,3,1
-105.5,0,1
-104.5,2,0
-103.5,1,1
-102.5,0,2
-101.5,3,0
-100.5,1,0
-98.5,0,2
-96.5,1,0
-93.5,1,0
-91.5,1,1
-90.5,0,1
-89.5,1,0
-87.5,0,1
-86.5,0,1
-85.5,2,0
-84.5,0,1
-78.5,0,1
-76.5,1,2
-74.5,0,1
-72.5,0,1
-66.5,0,1
-62.5,1,0
-60.5,0,1
-59.5,0,1
-56.5,0,2
-55.5,0,1
-50.5,0,1
-44.5,1,0
-43.5,0,1
-41.5,0,1
-40.5,1,2
-39.5,0,2
-38.5,1,1
-37.5,0,1
-36.5,1,1
-35.5,0,1
-34.5,0,1
-33.5,3,1
-31.5,0,1
-30.5,2,1
-29.5,4,1
-28.5,1,1
-27.5,4,0
-26.5,5,1
-25.5,11,2
-24.5,4,2
-23.5,4,14
-22.5,5,0
-21.5,1,3
-20.5,4,3
-19.5,5,1
-18.5,9,5
-17.5,14,4
-16.5,5,2
-15.5,11,0
-14.5,7,2
-13.5,12,4
-12.5,12,6
-11.5,42,5
-10.5,59,3
-9.5,98,8
-8.5,291,9
-7.5,271,55
-6.5,310,20
-5.5,571,15
-4.5,253,28
-3.5,861,15
-2.5,560,15
-1.5,717,16
-0.5,480,35
0.5,761,119436
1.5,535,1481
2.5,408,120
3.5,860,120
4.5,485,111
5.5,492,77
6.5,519,22
7.5,210,159
8.5,395,56
9.5,278,87
10.5,142,81
11.5,62,59
12.5,65,44
13.5,54,40
14.5,34,26
15.5,33,67
16.5,17,75
17.5,19,31
18.5,8,48
19.5,33,30
20.5,20,26
21.5,24,40
22.5,20,29
23.5,13,71
24.5,15,18
25.5,18,20
26.5,10,103
27.5,17,47
28.5,4,17
29.5,9,24
30.5,2,74
31.5,2,28
32.5,7,23
33.5,4,9
34.5,5,28
35.5,5,25
36.5,4,19
37.5,11,18
38.5,2,20
39.5,1,13
40.5,2,14
41.5,3,8
42.5,0,172
43.5,0,49
44.5,2,13
45.5,0,9
46.5,2,12
47.5,2,12
48.5,0,27
49.5,1,14
50.5,0,19
51.5,1,23
52.5,0,14
53.5,0,13
54.5,0,11
55.5,0,19
56.5,0,11
57.5,1,19
58.5,0,13
59.5,0,22
60.5,0,13
61.5,1,13
62.5,2,11
63.5,1,5
64.5,0,6
65.5,1,8
66.5,1,15
67.5,0,12
68.5,1,13
69.5,0,25
70.5,0,14
71.5,0,14
72.5,1,14
73.5,1,18
74.5,0,19
75.5,0,11
76.5,0,16
77.5,0,16
78.5,3,10
79.5,1,15
80.5,1,7
81.5,0,9
82.5,1,6
83.5,0,9
84.5,0,12
85.5,1,15
86.5,0,50
87.5,0,17
88.5,2,18
89.5,1,15
90.5,1,13
91.5,0,17
92.5,1,14
93.5,0,7
94.5,0,20
95.5,0,9
96.5,0,12
97.5,0,17
98.5,0,22
99.5,0,9
100.5,2,19
101.5,0,14
102.5,0,10
103.5,1,22
104.5,0,7
105.5,2,8
106.5,0,18
107.5,1,22
108.5,2,58
109.5,2,18
110.5,1,12
111.5,0,26
112.5,0,33
113.5,0,28
114.5,2,31
115.5,0,32
116.5,3,26
117.5,0,10
118.5,1,15
119.5,1,28
120.5,0,22
121.5,1,7
122.5,0,27
123.5,1,19
124.5,0,22
125.5,0,34
126.5,1,27
127.5,0,48
128.5,1,22
129.5,3,50
130.5,1,44
131.5,0,30
132.5,1,32
133.5,0,6
134.5,2,35
135.5,1,37
136.5,0,32
137.5,2,43
138.5,0,48
139.5,0,19
140.5,0,14
141.5,0,32
142.5,2,33
143.5,1,27
144.5,0,46
145.5,0,49
146.5,2,16
147.5,0,19
148.5,0,29
149.5,1,32
150.5,2,17
151.5,2,10
152.5,0,31
153.5,2,18
154.5,1,8
155.5,0,25
156.5,2,22
157.5,0,41
158.5,0,27
159.5,1,13
160.5,1,29
161.5,0,18
162.5,1,13
163.5,1,19
164.5,0,21
165.5,2,30
166.5,1,26
167.5,2,9
168.5,3,16
169.5,0,31
170.5,0,15
171.5,0,12
172.5,1,11
173.5,1,34
174.5,1,48
175.5,0,31
176.5,1,10
177.5,0,17
178.5,2,26
179.5,4,14
180.5,1,11
181.5,0,9
182.5,0,24
183.5,0,20
184.5,5,12
185.5,0,8
186.5,5,14
187.5,1,34
188.5,0,6
189.5,0,13
190.5,1,16
191.5,4,5
192.5,0,19
193.5,2,12
194.5,2,30
195.5,2,22
196.5,0,17
197.5,5,13
198.5,0,13
199.5,1,16
200.5,2,13
201.5,2,5
202.5,1,23
203.5,3,16
204.5,0,4
205.5,0,2
206.5,0,9
207.5,1,0
208.5,1,8
209.5,0,8
210.5,0,8
211.5,0,6
212.5,1,11
213.5,1,11
214.5,0,14
215.5,3,6
216.5,0,4
217.5,2,1
218.5,1,5
219.5,0,4
220.5,1,1
221.5,0,1
222.5,1,1
223.5,1,1
224.5,1,4
225.5,0,1
226.5,2,1
227.5,2,2
228.5,0,2
229.5,0,3
230.5,1,2
231.5,0,1
232.5,1,0
233.5,0,5
234.5,1,0
235.5,2,4
236.5,1,1
237.5,0,1
238.5,0,4
239.5,0,3
240.5,0,1
242.5,1,1
243.5,1,2
244.5,0,1
249.5,0,1
251.5,0,3
254.5,1,0
268.5,1,0
274.5,1,0
