Distance from 5'-end,GC_3
0,32.19422307964086
1,32.47197904807838
2,32.33027597539159
3,32.299955695883085
4,32.447219215648886
5,33.954526590882324
6,34.92799739783415
7,34.973414725791166
8,33.491887860111156
9,34.12875673674942
10,35.03471984656194
11,34.09938703291403
12,37.02055374538031
13,36.87524185000533
14,36.976084189038374
15,36.93179689646857
16,36.8931233280804
17,36.933885919702995
18,36.88874338943319
19,36.90214959088793
20,36.85045958511157
21,36.952793683018065
22,37.17612568909726
23,37.097076489095016
24,37.21856791148149
25,37.489201572515746
26,37.48385703790526
27,37.405082635590226
28,37.383317537139746
29,37.35126154570895
30,37.408534431028585
31,37.3584932113755
32,37.26900169925917
33,37.35851283978173
34,37.28262661724047
35,34.48514410054231
36,35.38641882532401
37,36.08282065805634
38,36.20563839989232
39,36.6297129205386
40,37.29861816020144
41,37.39395613331614
42,37.19682524549528
43,37.23941327889722
44,36.92273418090661
45,36.91953194663317
46,37.32248630217651
47,37.383777402657124
48,37.25653766130344
49,37.284628714675875
50,37.49662952224459
51,37.490457790514434
52,37.40741841593154
53,37.00439115487934
54,37.242405208818205
55,36.97767969805903
56,36.81420311474766
57,36.74431477233853
58,36.83108354410503
59,36.74724220892475
60,36.55640362732947
61,36.91452670304464
62,36.556134437758324
63,37.04419756271276
64,36.92658976070169
65,36.93456169768889
66,36.900548473751215
67,36.95167486386298
68,37.009376770061635
69,37.0635820158934
70,37.04520141548849
71,36.93342605418562
72,36.807257463000454
73,36.80691256386242
74,37.205091608575934
