Base index shifted,AT#TOP#AVERAGE,AT#TOP#STD,AT#BOT#AVERAGE,AT#BOT#STD
-49.5,6.620461996967172e-05,3.200920364045396e-05,5.116005422965749e-06,8.861181324374581e-06
-48.5,2.032389360424191e-05,2.2118728582877566e-05,2.5864522756674054e-05,1.7475992563786287e-05
-47.5,6.115029141646469e-05,1.6794836665921578e-05,1.5496609578216123e-05,1.5350174048037942e-05
-46.5,0.00010801984103021556,6.94459621437548e-05,1.0367913178457931e-05,8.981190010572097e-06
-45.5,0.00011773167320218925,4.9731866338417294e-05,2.089711064302718e-05,9.260472790046657e-06
-44.5,0.00012149037018834727,6.011246189403845e-05,2.0748517333708304e-05,8.6148219040588e-06
-43.5,7.754768659259718e-05,5.7541365470341765e-05,1.548391860142368e-05,1.5349821227698158e-05
-42.5,0.000182462051001073,2.6067398853125555e-05,2.585183177988161e-05,2.3537991354258353e-05
-41.5,0.00010961147175420492,4.256404985536295e-05,0.0,0.0
-40.5,0.00021124174893720206,5.8616097014383346e-05,2.6149018398519365e-05,9.354019713529775e-06
-39.5,0.00031517809925914436,0.00010861685165019846,1.548391860142368e-05,1.5349821227698158e-05
-38.5,0.0002808586538473414,2.1229875126514088e-05,1.0516506487776808e-05,9.107581672298944e-06
-37.5,0.0001320520187318655,4.5986860875877417e-05,0.0,0.0
-36.5,0.0003880682822329749,8.661710458200115e-05,5.2645987322846255e-06,9.118552485779673e-06
-35.5,0.00028448915311851046,8.6208781323892e-05,2.6149018398519365e-05,9.354019713529775e-06
-34.5,0.00020671244303342433,5.191709567210709e-05,2.5877213733466496e-05,2.3547185096328537e-05
-33.5,0.0007627330109722695,4.88342831286949e-05,2.5864522756674054e-05,1.7475992563786287e-05
-32.5,0.0005895477861094532,5.681119896308065e-05,2.600042508920049e-05,8.848597629310454e-06
-31.5,0.0008152596966148956,5.63677930159983e-05,2.6149018398519365e-05,9.354019713529775e-06
-30.5,0.0010839434528711544,3.922470269291503e-05,3.624512691192443e-05,2.3171931172667093e-05
-29.5,0.000963748714249856,8.625332480181571e-05,3.6788736242030165e-05,3.9646015194586664e-05
-28.5,0.0014821203922105433,0.00013584049225007122,3.111643051216623e-05,1.5128994480211144e-05
-27.5,0.001049891212051117,0.00014513314918171004,5.6993644245632734e-05,3.1411451066671313e-05
-26.5,0.0013961010365763976,0.000328424762873884,1.0232010845931498e-05,1.7722362648749162e-05
-25.5,0.0013899621145452433,0.00013988667444679665,3.667821586308861e-05,2.4328607463391893e-05
-24.5,0.0018226334769799863,0.0001455158085899631,3.111643051216623e-05,1.5128994480211144e-05
-23.5,0.0017668767499208191,0.00026473751432562486,1.0367913178457931e-05,8.981190010572097e-06
-22.5,0.0019862552630817067,0.0003657126632456326,5.7401351243212034e-05,1.8525326351886158e-05
-21.5,0.0023483388827613767,0.0003074457899185036,7.247756284705641e-05,4.3566802693405745e-05
-20.5,0.0034019218161342,0.00016205430506617845,5.214944348771985e-05,9.440394521491183e-06
-19.5,0.003147361809400492,0.00019520595509598534,5.214944348771985e-05,9.440394521491183e-06
-18.5,0.0030656924510003448,0.00020100888774025224,2.0748517333708304e-05,8.6148219040588e-06
-17.5,0.0033542096263905045,0.0003776229747672279,2.601311606599293e-05,8.894340898956309e-06
-16.5,0.003977423637547342,0.0003858172529751829,7.828577090944678e-05,2.773086559548791e-05
-15.5,0.005816762740649875,0.000554403505229791,8.31426626441521e-05,2.2498850187721636e-05
-14.5,0.007490199235755505,0.0008350661488390342,7.747035691428817e-05,6.996620086272282e-05
-13.5,0.010006851258350418,0.0005126705253430472,9.862658124557577e-05,3.42129554334705e-05
-12.5,0.01844000724626959,0.0005030418917531955,8.325318302309365e-05,3.237154787179162e-05
-11.5,0.015666204741471686,0.0006464891958854922,8.809738378100652e-05,4.608746664472786e-05
-10.5,0.018337127419422065,0.0008349421165132516,7.84216732419732e-05,4.2123758752105934e-05
-9.5,0.03401988300502863,0.00046602914421276724,7.289796082142816e-05,8.481638201426518e-06
-8.5,0.024990445375800825,1.90527254389138e-05,6.266594997549666e-05,1.6373224112671228e-05
-7.5,0.02955805778803257,0.0006237744630105824,9.865196319916066e-05,4.6587560589708944e-05
-6.5,0.034175479661845955,0.0009858395831169322,0.000176678620420347,6.09884814742533e-05
-5.5,0.05190646254831871,0.002398134645690591,9.86011992919909e-05,4.64908287771358e-05
-4.5,0.04232537091116176,0.0023258879893663536,0.00016177638407940639,6.65375537695784e-05
-3.5,0.04079646796150026,0.00014389002886784863,0.00031695082964265826,9.691262773371438e-05
-2.5,0.041228918899311795,0.0009468139184305427,0.00020350715048149853,3.0034052795216357e-05
-1.5,0.04464200904668609,0.002885531914908611,0.00030170064277591015,4.506796212814889e-05
