Base index,dsDNA_2#TOP,dsDNA_2#BOT
1,20254,107554
2,319,3877
3,364,557
4,130,297
5,155,667
6,130,77
7,55,60
8,12,22
9,10,68
10,3,16
11,6,23
12,5,9
13,2,57
14,3,20
15,2,24
16,12,16
17,4,15
18,3,23
19,2,16
20,3,38
21,2,19
22,2,16
23,7,31
24,3,7
25,3,7
26,2,10
27,12,7
28,1,10
29,8,4
30,4,4
31,0,18
32,0,30
33,1,7
34,0,5
35,2,4
36,2,5
37,1,24
38,0,8
39,1,8
40,1,5
41,2,6
42,3,13
43,3,4
44,2,4
45,5,32
46,5,9
47,6,8
48,1,15
49,2,8
50,2,12
51,4,11
52,0,7
53,10,13
54,3,12
55,1,7
56,3,5
57,1,6
58,5,31
59,1,11
60,6,6
61,8,14
62,4,6
63,4,10
64,2,36
65,7,9
66,4,10
67,4,8
68,3,7
69,8,7
70,6,11
71,5,13
72,8,14
73,4,16
74,3,13
75,5,8
76,7,24
77,7,10
78,4,4
79,1,16
80,2,27
81,9,7
82,5,19
83,2,15
84,4,15
85,5,15
86,12,24
87,2,25
88,4,20
89,3,17
90,8,25
91,4,20
92,3,27
93,11,21
94,11,21
95,3,13
96,4,18
97,5,31
98,16,39
99,8,25
100,7,27
101,2,27
102,12,36
103,3,27
104,7,31
105,5,26
106,4,29
107,6,32
108,21,38
109,4,43
110,15,31
111,9,36
112,7,55
113,13,32
114,8,31
115,21,42
116,5,53
117,10,23
118,7,46
119,8,29
120,7,50
121,9,57
122,11,13
123,7,36
124,13,9
125,9,39
126,10,51
127,8,26
128,13,42
129,16,35
130,4,59
131,14,59
132,8,37
133,9,53
134,15,48
135,16,41
136,22,35
137,12,50
138,16,36
139,16,36
140,18,49
141,24,48
142,20,9
143,14,60
144,13,57
145,19,49
146,14,23
147,17,67
148,12,75
149,12,37
150,23,32
151,18,78
152,21,51
153,7,49
154,13,66
155,14,67
156,10,19
157,25,58
158,16,33
159,14,57
160,36,92
161,31,60
162,31,48
163,22,32
164,19,46
165,35,39
166,21,23
167,19,37
168,10,33
169,22,47
170,13,51
171,17,46
172,19,34
173,22,30
174,19,48
175,35,41
176,28,57
177,28,23
178,24,44
179,25,42
180,16,63
181,38,66
182,32,62
183,36,36
184,38,22
185,33,40
186,32,52
187,19,50
188,13,43
189,46,40
190,27,26
191,28,49
192,31,22
193,47,23
194,44,20
195,42,14
196,39,48
197,30,15
198,54,51
199,48,72
200,44,28
201,45,45
202,52,90
203,69,67
204,36,50
205,71,46
206,51,56
207,53,46
208,52,29
209,45,25
210,54,91
211,49,57
212,55,73
213,62,46
214,80,57
215,72,50
216,74,24
217,65,77
218,79,58
219,71,100
220,96,43
221,46,77
222,73,78
223,63,76
224,55,101
225,100,102
226,46,67
227,100,75
228,86,98
229,92,86
230,128,88
231,108,60
232,64,77
233,101,70
234,114,81
235,118,102
236,129,114
237,108,48
238,128,67
239,129,103
240,73,94
241,137,111
242,89,94
243,76,139
244,110,84
245,47,124
246,167,152
247,177,109
248,97,110
249,143,50
250,150,95
251,100,139
252,71,73
253,104,84
254,196,79
255,128,70
256,77,54
257,98,55
258,127,32
259,101,50
260,102,78
261,97,77
262,124,36
263,89,54
264,131,65
265,157,42
266,136,77
267,87,46
268,159,46
269,188,28
270,157,78
271,143,74
272,193,70
273,212,28
274,159,72
275,244,54
276,205,58
277,171,57
278,217,73
279,240,60
280,213,60
281,149,69
282,227,51
283,223,38
284,281,65
285,172,37
286,202,62
287,241,49
288,164,93
289,192,38
290,88,25
291,296,59
292,208,64
293,274,27
294,235,68
295,254,69
296,368,30
297,250,79
298,399,76
299,460,47
300,217,63
301,224,54
302,220,71
303,323,76
304,318,38
305,136,72
306,210,85
307,349,55
308,191,53
309,247,94
310,248,85
311,177,47
312,343,38
313,164,80
314,191,104
315,314,46
316,331,84
317,244,48
318,287,49
319,287,79
320,256,66
321,321,53
322,273,87
323,379,66
324,455,69
325,174,64
326,174,36
327,320,75
328,351,76
329,173,59
330,407,43
331,540,38
332,277,98
333,445,69
334,291,84
335,339,100
336,352,94
337,418,81
338,355,47
339,550,86
340,474,68
341,472,69
342,470,96
343,468,94
344,382,108
345,299,101
346,585,66
347,444,48
348,511,112
349,461,75
350,440,94
351,521,83
352,505,72
353,592,96
354,422,110
355,463,111
356,502,83
357,315,138
358,562,112
359,537,67
360,298,90
361,379,57
362,380,113
363,438,126
364,436,67
365,431,48
366,437,76
367,596,106
368,299,114
369,624,94
370,345,72
371,360,104
372,311,124
373,171,100
374,502,75
375,415,110
376,596,123
377,649,74
378,232,80
379,433,99
380,592,89
381,389,78
382,644,41
383,393,64
384,451,86
385,656,64
386,404,65
387,416,79
388,372,89
389,629,93
390,574,56
391,263,84
392,512,104
393,439,75
394,268,95
395,415,82
396,483,74
397,525,75
398,487,56
399,392,64
400,356,88
401,527,66
402,435,63
403,568,96
404,472,93
405,389,110
406,384,94
407,340,87
408,310,86
409,459,51
410,845,107
411,286,84
412,523,92
413,612,127
414,344,66
415,457,101
416,590,91
417,349,145
418,534,76
419,402,82
420,382,78
421,454,84
422,482,97
423,360,104
424,469,71
425,653,81
426,313,69
427,544,96
428,634,73
429,448,73
430,327,64
431,443,72
432,500,62
433,339,123
434,434,80
435,222,60
436,409,81
437,310,75
438,485,73
439,405,42
440,482,93
441,377,91
442,429,61
443,533,43
444,495,99
445,255,72
446,375,70
447,416,97
448,270,107
449,703,70
450,441,48
451,487,82
452,515,84
453,716,48
