Base index shifted,dsDNA_1#TOP,dsDNA_1#BOT
-352.5,53418,81738
-351.5,794,3044
-350.5,1046,374
-349.5,356,173
-348.5,434,585
-347.5,311,68
-346.5,117,80
-345.5,61,25
-344.5,44,54
-343.5,7,12
-342.5,9,16
-341.5,16,10
-340.5,19,175
-339.5,10,15
-338.5,29,11
-337.5,94,23
-336.5,11,17
-335.5,7,19
-334.5,14,14
-333.5,9,58
-332.5,4,31
-331.5,6,30
-330.5,29,32
-329.5,12,7
-328.5,9,10
-327.5,6,26
-326.5,25,13
-325.5,5,15
-324.5,12,9
-323.5,21,8
-322.5,3,50
-321.5,5,40
-320.5,4,16
-319.5,9,5
-318.5,20,10
-317.5,3,8
-316.5,7,79
-315.5,4,55
-314.5,7,24
-313.5,4,5
-312.5,12,5
-311.5,5,20
-310.5,5,11
-309.5,8,11
-308.5,5,70
-307.5,15,26
-306.5,10,17
-305.5,12,9
-304.5,12,11
-303.5,5,21
-302.5,8,19
-301.5,4,10
-300.5,37,19
-299.5,11,24
-298.5,8,4
-297.5,12,7
-296.5,8,3
-295.5,16,87
-294.5,14,27
-293.5,60,10
-292.5,14,28
-291.5,13,14
-290.5,19,14
-289.5,13,154
-288.5,10,33
-287.5,17,19
-286.5,9,19
-285.5,12,19
-284.5,21,32
-283.5,18,22
-282.5,13,27
-281.5,18,13
-280.5,3,14
-279.5,13,23
-278.5,45,15
-277.5,20,49
-276.5,22,24
-275.5,10,5
-274.5,11,32
-273.5,8,45
-272.5,12,20
-271.5,13,39
-270.5,34,27
-269.5,7,45
-268.5,6,23
-267.5,22,36
-266.5,4,63
-265.5,9,32
-264.5,7,42
-263.5,12,105
-262.5,11,47
-261.5,26,61
-260.5,27,47
-259.5,15,66
-258.5,12,60
-257.5,21,45
-256.5,13,56
-255.5,58,82
-254.5,11,31
-253.5,21,28
-252.5,20,50
-251.5,45,91
-250.5,21,59
-249.5,19,45
-248.5,34,61
-247.5,12,88
-246.5,27,88
-245.5,33,94
-244.5,28,101
-243.5,39,102
-242.5,38,68
-241.5,26,94
-240.5,36,61
-239.5,25,57
-238.5,64,89
-237.5,49,120
-236.5,50,34
-235.5,41,109
-234.5,41,66
-233.5,39,78
-232.5,38,129
-231.5,41,34
-230.5,30,53
-229.5,65,23
-228.5,50,86
-227.5,47,101
-226.5,28,37
-225.5,39,106
-224.5,62,87
-223.5,41,116
-222.5,52,169
-221.5,28,88
-220.5,35,119
-219.5,47,138
-218.5,46,140
-217.5,75,87
-216.5,48,111
-215.5,54,66
-214.5,75,45
-213.5,53,52
-212.5,94,87
-211.5,51,32
-210.5,40,114
-209.5,98,67
-208.5,53,107
-207.5,55,55
-206.5,58,162
-205.5,41,117
-204.5,40,74
-203.5,52,104
-202.5,57,197
-201.5,71,99
-200.5,59,84
-199.5,54,119
-198.5,52,140
-197.5,57,43
-196.5,105,99
-195.5,101,33
-194.5,63,163
-193.5,123,139
-192.5,101,127
-191.5,107,128
-190.5,63,59
-189.5,52,110
-188.5,120,57
-187.5,68,80
-186.5,62,120
-185.5,48,100
-184.5,73,158
-183.5,96,97
-182.5,84,151
-181.5,86,100
-180.5,79,88
-179.5,55,163
-178.5,68,112
-177.5,111,163
-176.5,87,50
-175.5,99,131
-174.5,70,102
-173.5,42,164
-172.5,101,152
-171.5,106,138
-170.5,143,75
-169.5,127,87
-168.5,84,123
-167.5,38,153
-166.5,58,129
-165.5,60,89
-164.5,104,79
-163.5,70,74
-162.5,72,115
-161.5,86,56
-160.5,94,32
-159.5,127,40
-158.5,97,23
-157.5,98,120
-156.5,90,58
-155.5,129,122
-154.5,138,186
-153.5,131,82
-152.5,73,109
-151.5,139,244
-150.5,143,130
-149.5,100,79
-148.5,166,124
-147.5,95,144
-146.5,81,102
-145.5,111,70
-144.5,67,58
-143.5,85,192
-142.5,75,117
-141.5,76,113
-140.5,73,119
-139.5,112,91
-138.5,122,102
-137.5,142,69
-136.5,140,153
-135.5,154,96
-134.5,118,247
-133.5,155,73
-132.5,70,135
-131.5,142,154
-130.5,102,161
-129.5,99,206
-128.5,131,225
-127.5,52,158
-126.5,143,131
-125.5,119,148
-124.5,170,205
-123.5,179,188
-122.5,189,125
-121.5,101,151
-120.5,173,183
-119.5,158,140
-118.5,170,238
-117.5,169,250
-116.5,135,126
-115.5,157,126
-114.5,150,230
-113.5,105,251
-112.5,226,175
-111.5,121,284
-110.5,86,397
-109.5,168,209
-108.5,68,353
-107.5,237,371
-106.5,250,235
-105.5,130,265
-104.5,262,141
-103.5,218,231
-102.5,169,410
-101.5,134,140
-100.5,172,245
-99.5,302,175
-98.5,178,164
-97.5,89,126
-96.5,160,171
-95.5,204,72
-94.5,132,112
-93.5,119,246
-92.5,102,218
-91.5,164,91
-90.5,117,159
-89.5,169,117
-88.5,161,109
-87.5,156,175
-86.5,90,129
-85.5,251,146
-84.5,162,73
-83.5,188,207
-82.5,160,203
-81.5,255,210
-80.5,278,86
-79.5,165,234
-78.5,259,121
-77.5,213,122
-76.5,189,149
-75.5,223,214
-74.5,232,159
-73.5,190,107
-72.5,113,229
-71.5,218,130
-70.5,203,147
-69.5,279,192
-68.5,135,124
-67.5,198,214
-66.5,261,186
-65.5,157,246
-64.5,218,85
-63.5,80,80
-62.5,281,152
