Base index,HP0.6.4.GC_1#TOP,HP0.6.4.GC_1#BOT
1,36247,56195
2,554,1346
3,144,340
4,183,757
5,28,209
6,121,44
7,172,255
8,160,148
9,62,40
10,103,35
11,137,566
12,45,160
13,54,94
14,49,39
15,81,81
16,37,100
17,40,42
18,39,54
19,47,462
20,37,162
21,122,101
22,80,83
23,63,46
24,35,47
25,31,29
26,24,87
27,58,80
28,22,49
29,20,44
30,27,92
31,29,145
32,35,123
33,26,34
34,15,21
35,27,507
36,25,154
37,64,47
38,20,23
39,96,249
40,91,51
41,37,19
42,54,29
43,79,120
44,37,111
45,56,46
46,32,20
47,28,73
48,26,17
49,97,100
50,66,51
51,37,31
52,22,81
53,65,61
54,27,66
55,12,22
56,46,53
57,25,103
58,49,53
59,35,95
60,29,140
61,71,79
62,31,15
63,71,28
64,35,259
65,22,157
66,19,23
67,59,29
68,36,62
69,58,53
70,34,39
71,37,43
72,38,121
73,84,27
74,53,60
75,47,39
76,29,48
77,46,77
78,322,43
79,108,56
80,30,77
81,50,104
82,52,34
83,39,29
84,28,53
85,90,80
86,43,151
87,40,58
88,28,82
89,51,31
90,28,41
91,31,125
92,28,29
93,293,107
94,82,106
95,43,91
96,68,38
97,79,54
98,39,404
99,31,49
100,198,16
101,82,114
102,53,77
103,55,87
104,257,31
105,114,144
106,30,135
107,43,68
108,93,51
109,112,102
110,35,36
111,54,65
112,40,86
113,70,56
114,34,127
115,129,82
116,64,73
117,49,35
118,54,25
119,104,209
120,40,69
121,79,65
122,52,37
123,28,47
124,40,22
125,61,80
126,32,19
127,25,33
128,53,77
129,25,46
130,43,64
131,43,182
132,16,66
133,25,31
134,49,46
135,39,41
136,39,38
137,55,195
138,272,51
139,67,48
140,60,96
141,72,58
142,48,24
143,37,38
144,57,41
145,41,146
146,40,52
147,47,40
148,78,51
149,62,44
150,50,46
151,41,100
152,40,62
153,34,58
154,45,146
155,90,66
156,52,118
157,46,47
158,61,34
159,49,61
160,59,31
161,67,73
162,57,42
163,74,41
164,56,206
165,73,70
166,48,44
167,23,74
168,56,55
169,31,45
170,38,47
171,71,86
172,41,68
173,51,61
174,60,146
175,52,72
176,45,42
177,75,61
178,38,123
179,36,88
180,106,66
181,92,35
182,40,139
183,26,58
184,109,58
185,70,43
186,24,29
187,94,31
188,28,101
189,49,122
190,42,55
191,71,92
192,36,36
193,43,33
194,44,136
195,38,62
196,125,74
197,52,26
198,88,36
199,65,47
200,37,22
201,99,65
202,35,46
203,44,29
204,26,49
205,13,81
206,27,41
207,44,46
208,29,42
209,33,48
210,41,86
211,56,42
212,39,23
213,53,25
214,77,101
215,74,96
216,50,37
217,73,37
218,60,25
219,39,50
220,39,109
221,80,89
222,41,104
223,36,40
224,64,44
225,19,148
226,48,43
227,182,36
228,59,34
229,38,35
230,29,38
231,111,21
232,28,60
233,23,37
234,73,36
235,26,78
236,38,40
237,47,35
238,86,12
239,50,71
240,21,54
241,28,78
242,51,47
243,37,29
244,64,29
245,21,45
246,19,58
247,54,216
248,32,58
249,67,26
250,37,76
251,49,30
252,68,27
253,27,60
254,39,15
255,24,26
256,35,24
257,55,104
258,34,25
259,55,30
260,36,42
261,40,25
262,84,43
263,49,26
264,32,32
265,55,42
266,31,34
267,84,31
268,44,36
269,25,63
270,24,90
271,62,27
272,25,36
273,59,46
274,26,32
275,40,30
276,52,13
277,25,23
278,21,82
279,35,115
280,55,15
281,56,35
282,117,16
283,58,27
284,39,29
285,42,23
286,78,33
287,25,58
288,40,130
289,43,31
290,37,25
291,90,37
292,20,54
293,22,19
294,41,100
295,12,31
296,19,13
297,23,37
298,17,20
299,20,22
300,37,23
301,21,42
302,41,41
303,30,24
304,30,14
305,18,25
306,39,27
307,33,21
308,29,16
309,47,19
310,28,19
311,12,14
312,32,27
313,40,36
314,21,17
315,61,55
316,17,44
317,22,26
318,69,55
319,63,55
320,27,3
321,28,25
322,19,37
323,36,57
324,18,43
325,44,29
326,22,28
327,34,39
328,40,20
329,29,13
330,81,16
331,30,68
332,37,24
333,56,48
334,51,12
335,65,34
336,49,48
337,48,2455
338,47,160
339,31,57
340,30,45
341,1079,66
342,154,76
343,153,63
344,79,110
345,106,77
346,136,100
347,79,117
348,80,93
349,77,48
350,150,54
351,143,82
352,130,159
353,105,90
354,196,77
355,165,83
356,113,147
357,96,105
358,68,146
359,135,169
360,186,182
361,225,678
