Base index,ATMi0_2#TOP,ATMi0_2#BOT
1,84080,11174
2,786,154
3,201,32
4,92,16
5,204,12
6,67,12
7,41,6
8,36,3
9,36,4
10,16,2
11,13,2
12,8,0
13,73,1
14,16,0
15,8,3
16,10,9
17,6,2
18,8,0
19,9,0
20,15,2
21,15,3
22,14,0
23,11,2
24,6,2
25,7,0
26,10,0
27,6,1
28,9,0
29,5,0
30,72,2
31,8,3
32,6,0
33,14,0
34,1,0
35,8,1
36,8,6
37,31,5
38,99,3
39,14,0
40,12,0
41,2,1
42,4,0
44,2,1
45,24,1
46,5,2
47,2,0
48,3,0
49,1,0
50,2,0
51,3,1
52,2,0
53,4,2
54,15,0
55,2,0
56,3,1
57,2,0
58,36,1
59,8,1
60,8,2
61,7,0
62,2,0
63,8,0
64,52,1
65,10,1
66,5,1
67,2,1
68,7,0
69,2,0
70,4,0
71,14,0
72,2,0
73,6,0
74,8,0
75,8,2
76,8,0
77,3,0
78,2,1
79,10,0
80,9,0
81,6,3
82,2,0
83,3,2
84,4,0
85,3,0
86,19,1
87,17,0
88,4,0
89,5,0
90,36,1
91,10,0
92,10,0
93,10,0
94,6,1
95,14,1
96,9,0
97,5,0
98,8,1
99,6,1
100,3,0
101,23,0
102,6,3
103,8,0
104,6,3
105,4,1
106,9,0
107,16,0
108,7,1
109,11,0
110,15,1
111,9,0
112,8,0
113,6,1
114,3,1
115,9,3
116,12,0
117,6,1
118,4,0
119,5,1
120,6,1
121,9,1
122,3,1
123,6,1
124,5,1
125,11,2
126,12,0
127,4,1
128,8,0
129,8,0
130,14,1
131,13,1
132,7,0
133,13,0
134,4,1
135,14,0
136,7,2
137,8,0
138,10,1
139,5,1
140,6,1
141,11,1
142,8,0
143,14,0
144,13,1
145,5,0
146,7,0
147,6,2
148,11,2
149,5,0
150,15,1
151,20,0
152,12,2
153,7,3
154,16,1
155,18,1
156,3,4
157,13,1
158,3,1
159,18,0
160,15,0
161,20,0
162,18,5
163,5,0
164,9,0
165,5,1
166,7,1
167,23,1
