Base index shifted,HP0.6.4.GC_2#TOP,HP0.6.4.GC_2#BOT
-374.5,33171,0
-373.5,554,0
-372.5,147,0
-371.5,151,0
-370.5,25,0
-369.5,130,0
-368.5,217,0
-367.5,167,0
-366.5,55,50457
-365.5,114,1242
-364.5,158,339
-363.5,48,769
-362.5,62,219
-361.5,72,58
-360.5,85,287
-359.5,52,145
-358.5,44,29
-357.5,44,50
-356.5,70,592
-355.5,19,171
-354.5,139,135
-353.5,88,29
-352.5,62,66
-351.5,26,124
-350.5,38,42
-349.5,29,71
-348.5,68,561
-347.5,25,224
-346.5,23,123
-345.5,30,79
-344.5,24,61
-343.5,50,60
-342.5,27,39
-341.5,9,67
-340.5,42,91
-339.5,37,61
-338.5,77,38
-337.5,24,109
-336.5,121,164
-335.5,103,130
-334.5,35,29
-333.5,55,27
-332.5,72,498
-331.5,34,167
-330.5,64,63
-329.5,33,20
-328.5,23,262
-327.5,38,69
-326.5,98,21
-325.5,81,42
-324.5,33,121
-323.5,12,120
-322.5,77,36
-321.5,29,33
-320.5,30,101
-319.5,66,19
-318.5,32,110
-317.5,46,77
-316.5,35,27
-315.5,27,86
-314.5,80,66
-313.5,29,69
-312.5,88,34
-311.5,32,48
-310.5,29,96
-309.5,26,52
-308.5,66,88
-307.5,49,136
-306.5,74,90
-305.5,31,21
-304.5,39,26
-303.5,50,256
-302.5,104,187
-301.5,63,25
-300.5,65,33
-299.5,45,75
-298.5,48,41
-297.5,372,36
-296.5,126,32
-295.5,51,111
-294.5,62,32
-293.5,68,47
-292.5,67,53
-291.5,55,56
-290.5,118,63
-289.5,49,46
-288.5,55,49
-287.5,57,79
-286.5,57,111
-285.5,54,35
-284.5,48,30
-283.5,38,44
-282.5,401,96
-281.5,141,193
-280.5,52,49
-279.5,81,78
-278.5,113,38
-277.5,71,48
-276.5,62,150
-275.5,323,47
-274.5,107,133
-273.5,85,124
-272.5,68,113
-271.5,381,49
-270.5,153,72
-269.5,43,517
-268.5,72,64
-267.5,104,19
-266.5,123,145
-265.5,43,92
-264.5,84,83
-263.5,57,52
-262.5,104,161
-261.5,64,141
-260.5,194,82
-259.5,78,80
-258.5,83,130
-257.5,49,44
-256.5,100,61
-255.5,47,93
-254.5,137,65
-253.5,71,122
-252.5,41,103
-251.5,41,83
-250.5,63,35
-249.5,46,35
-248.5,57,228
-247.5,77,74
-246.5,35,45
-245.5,64,27
-244.5,48,51
-243.5,18,31
-242.5,34,99
-241.5,47,21
