Base index shifted,AT_2#TOP,AT_2#BOT
-351.5,79270,65151
-350.5,417,522
-349.5,150,153
-348.5,52,92
-347.5,107,104
-346.5,68,99
-345.5,48,50
-344.5,19,26
-343.5,30,3
-342.5,7,10
-341.5,6,11
-340.5,9,20
-339.5,33,7
-338.5,13,13
-337.5,6,28
-336.5,5,14
-335.5,1,11
-334.5,8,6
-333.5,3,8
-332.5,17,5
-331.5,6,3
-330.5,10,4
-329.5,6,7
-328.5,1,4
-327.5,3,9
-326.5,3,1
-325.5,4,27
-324.5,3,4
-323.5,6,7
-322.5,6,2
-321.5,8,1
-320.5,13,0
-319.5,5,0
-318.5,2,0
-317.5,2,5
-316.5,4,5
-315.5,7,0
-314.5,10,1
-313.5,2,1
-312.5,1,2
-311.5,2,2
-310.5,7,1
-309.5,5,0
-308.5,3,2
-307.5,12,3
-306.5,7,2
-305.5,2,1
-304.5,9,2
-303.5,3,4
-302.5,8,1
-301.5,4,1
-300.5,10,0
-299.5,2,7
-298.5,6,1
-297.5,4,0
-296.5,8,5
-295.5,5,2
-294.5,18,2
-293.5,10,1
-292.5,3,1
-291.5,3,1
-290.5,1,1
-289.5,6,4
-288.5,24,3
-287.5,5,0
-286.5,7,1
-285.5,6,9
-284.5,6,1
-283.5,4,3
-282.5,4,2
-281.5,10,1
-280.5,6,3
-279.5,5,1
-278.5,6,4
-277.5,4,9
-276.5,14,2
-275.5,7,1
-274.5,4,6
-273.5,4,6
-272.5,5,4
-271.5,7,2
-270.5,4,1
-269.5,6,2
-268.5,16,2
-267.5,7,3
-266.5,14,2
-265.5,17,5
-264.5,9,1
-263.5,13,9
-262.5,20,2
-261.5,8,6
-260.5,10,6
-259.5,7,1
-258.5,10,2
-257.5,7,4
-256.5,3,2
-255.5,12,6
-254.5,5,11
-253.5,9,5
-252.5,9,4
-251.5,27,1
-250.5,13,8
-249.5,7,5
-248.5,11,5
-247.5,21,7
-246.5,10,3
-245.5,19,2
-244.5,5,8
-243.5,7,12
-242.5,14,13
-241.5,26,9
-240.5,10,4
-239.5,6,5
-238.5,18,3
-237.5,12,4
-236.5,12,5
-235.5,8,4
-234.5,9,10
-233.5,21,8
-232.5,12,12
-231.5,16,17
-230.5,6,9
-229.5,14,8
-228.5,8,5
-227.5,21,7
-226.5,14,17
-225.5,10,14
-224.5,11,17
-223.5,7,4
-222.5,18,7
-221.5,17,15
-220.5,12,12
-219.5,15,13
-218.5,14,4
-217.5,14,16
-216.5,18,12
-215.5,17,26
-214.5,13,14
-213.5,9,18
-212.5,19,9
-211.5,24,10
-210.5,18,13
-209.5,18,16
-208.5,40,15
-207.5,27,16
-206.5,22,20
-205.5,10,21
-204.5,17,15
-203.5,16,15
-202.5,33,21
-201.5,17,21
-200.5,12,23
-199.5,14,15
-198.5,19,23
-197.5,21,18
-196.5,22,29
-195.5,28,25
-194.5,17,31
-193.5,25,19
-192.5,31,39
-191.5,34,17
-190.5,19,26
-189.5,11,17
-188.5,26,17
-187.5,27,27
-186.5,18,29
-185.5,13,21
-184.5,24,20
-183.5,31,26
-182.5,23,20
-181.5,24,33
-180.5,24,28
-179.5,24,27
-178.5,30,30
-177.5,29,18
-176.5,40,25
-175.5,19,27
-174.5,12,31
-173.5,28,21
-172.5,25,14
-171.5,21,10
-170.5,17,26
-169.5,17,20
-168.5,5,18
-167.5,13,11
-166.5,12,17
-165.5,13,27
-164.5,15,27
-163.5,15,27
-162.5,12,19
-161.5,13,15
-160.5,16,28
-159.5,7,23
-158.5,9,30
-157.5,9,20
-156.5,22,30
-155.5,9,30
-154.5,23,31
-153.5,21,32
-152.5,23,22
-151.5,13,14
-150.5,9,25
-149.5,21,25
-148.5,4,38
-147.5,18,23
-146.5,15,21
-145.5,15,24
-144.5,4,24
-143.5,25,19
-142.5,8,22
-141.5,9,16
-140.5,10,19
-139.5,6,22
-138.5,16,26
-137.5,4,30
-136.5,17,35
-135.5,15,30
-134.5,6,20
-133.5,10,14
-132.5,10,19
-131.5,14,18
-130.5,10,10
-129.5,6,12
-128.5,6,10
-127.5,12,18
-126.5,14,11
-125.5,3,13
-124.5,5,24
-123.5,5,10
-122.5,7,8
-121.5,4,8
-120.5,8,7
-119.5,2,5
-118.5,8,7
-117.5,3,5
-116.5,5,6
-115.5,1,4
-114.5,3,6
-113.5,4,8
-112.5,9,6
-111.5,3,6
-110.5,3,4
-109.5,2,6
-108.5,0,3
-107.5,2,5
-106.5,5,5
-105.5,7,7
-104.5,5,7
-103.5,1,0
-102.5,2,2
-101.5,5,1
-100.5,4,2
-99.5,6,3
-98.5,3,5
-97.5,2,1
-96.5,2,3
-95.5,4,4
-94.5,4,2
-93.5,0,4
-92.5,2,6
-91.5,2,3
-90.5,3,0
-89.5,0,3
-88.5,0,2
-87.5,1,1
-86.5,0,2
-85.5,1,5
-84.5,2,1
-83.5,1,0
-82.5,3,3
-81.5,2,2
-80.5,3,2
-79.5,0,1
-78.5,4,1
-77.5,0,1
-76.5,7,1
-75.5,1,2
-74.5,2,2
-72.5,0,2
-71.5,2,0
-70.5,1,2
-69.5,2,1
-68.5,1,0
-67.5,1,0
-66.5,2,4
-65.5,4,0
-64.5,4,1
-63.5,1,0
-61.5,3,2
-60.5,2,1
-59.5,1,2
-58.5,2,2
-57.5,0,1
-56.5,1,0
-55.5,2,0
-54.5,9,1
-53.5,4,2
-52.5,4,2
-51.5,5,0
-50.5,6,0
-49.5,4,0
-48.5,0,1
-47.5,2,0
-46.5,3,1
-45.5,8,1
-44.5,9,1
-43.5,4,1
-42.5,9,2
-41.5,3,0
-40.5,8,2
-39.5,21,1
-38.5,14,1
-37.5,4,0
-36.5,22,0
-35.5,13,2
-34.5,7,0
-33.5,35,1
-32.5,25,2
-31.5,41,2
-30.5,50,1
-29.5,42,5
-28.5,76,2
-27.5,52,2
-26.5,55,0
-25.5,69,2
-24.5,79,2
-23.5,98,1
-22.5,108,5
-21.5,100,3
-20.5,156,4
-19.5,156,4
-18.5,155,1
-17.5,145,1
-16.5,174,7
-15.5,247,4
-14.5,318,1
-13.5,453,5
-12.5,853,7
-11.5,765,5
-10.5,843,8
-9.5,1647,5
-8.5,1192,5
-7.5,1401,3
-6.5,1679,7
-5.5,2602,7
-4.5,2136,7
-3.5,1938,14
-2.5,1914,14
-1.5,2273,18
-0.5,2159,28
0.5,2330,61696
1.5,1927,251
2.5,3928,55
3.5,2971,53
4.5,1696,24
5.5,2746,45
6.5,1292,31
7.5,1359,26
8.5,1051,21
9.5,759,29
10.5,585,33
11.5,697,27
12.5,342,24
13.5,329,27
14.5,223,35
